MC: เครื่อง,20,20,20,8000,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B: กล่อง,20,0.5,20,200,10.8,E5: ลัง(5),20.4,5.3,20.4,2205.6479999999997,54,P50: แพค(50),20,0.5,20,200,10.8,EA: ชิ้น,20.4,5.3,20.4,2205.6479999999997,54,E8Y: ลัง(864),20,0.5,20,200,10.8
