00: Single article, DOB: เครื่องใช้ไฟฟ้าใหญ่, DOB050301: แอร์18 000BTU ON-OFF, 00: Common Division, 1: 'A' Article, 2: Do home, ZAWA: Trading Goods DoHome, 3100: Trading goods,2024-08-01,, 01: Non House brand, Z1: ผลิตในประเทศ, HBNTM: สินค้า HB ไม่มี Trademark
00: Single article, DKC: เครื่องเขียนแบบพิมพ์, DKC011402: ซองเอกสาร, 00: Common Division, 1: 'A' Article, 2: Do home, ZAWA: Trading Goods DoHome, 3100: Trading goods,2024-08-31,, 01: Non House brand, Z1: ผลิตในประเทศ, HBNTM: สินค้า HB ไม่มี Trademark
